44:28:001:1	Pen . xxviij .
44:28:002:1	Paul a’ei gydymðeithion yn cahel yr estron genedl yn vwyn ac yn gymmwynasgar . Bot y
44:28:003:1	*
44:28:004:1	neidr
44:28:005:1	wiper eb wneythur eniwed iddo . Ef e yn Iachay tad Publius ac ereill , a’ gwedy iddo gael ei ddiwally ganthwynt o bethe angenreidiol , tynny a wnaeth i Ruuein . Ac yno wedy dderbyn gan y broder , y mae yn dangos ei negesae . Ac yno yn precetha yspait dwy vlynedd .
44:28:001:0	AC wedy yddwynt ddianc yn‐iach , yno y gwybuant mae Melita y gelwit yr ynys .
44:28:002:0	A’r Barbarieit a ðangosesant yni hawðgarwch nid‐bychan : can ys wy a gynneuson dan , ac an derbyniesant y gyd oll , o bleit y gawat gynnyrchiol , ac o bleit yr oervel .
44:28:003:0	A’ gwedy casclu o Paul talm o vriwyð , a’ ei dody ar y tan , e ddaeth gwiper allan o’r gwres , ac a ruthrawð y ei law .
44:28:004:0	A’ phan welawdd y Barbarieit y bwystvil yn‐crog wrth ei law , y dywedent yn ei plith ehunain , Yn sicr lleiddiat yw’r dyn hwn , yr hwn cyd diangawdd or mor , ny’s gad dialedd i vyw .
44:28:005:0	Ac ef e a yscytwodd y bwystvil y wrtho ir tan ac ny bu arno ddim eniwed .
44:28:006:0	Eithyr wyntvvy a ddysgwilient gantaw am chwyddo , nai dygwyddo y lawr yn ddysyvyt yn varw : ac wynt yn hir o amser yn edrych , ac eb welet dim ancyflwr yn dygwyð iddaw , troi ei meddwl a wnaethant , a’ dywedyt , Mae Dew ytoedd ef .
44:28:007:0	Yn y cyfleoedd hyny , ydd oeð tiredd i bennaeth yr ynys , ( aei enw oedd ef Publius ) yr hwn an erbyniawdd , ac ’an lletyawdd dros dri‐die yn anwyl .
44:28:008:0	At e dderyw , bot tad Publius yn gorwedd yn glaf o gryd , a’ darymred gwaedlyt ; ac attaw ydd aeth Paul y mewn , a’ gwedy iddo weddiaw , y dodes ei ddwylo arnaw , ac yr iachaodd ef .
44:28:009:0	A’ gwedy gwneythyd hynn , yr‐eill hefyt or ynys , ar oedd heintiae arnynt , a ðaeth attaw , ac eu iachawyt :
44:28:010:0	yr ei an parchasont yn vawr iawn : ac wrth longi o hanam , in llwythesant a phethae angenreidiol .
44:28:011:0	Ac ar ben y trimis ir aetham ir mor mewn llong o Alexandria , yr hon y vesei yn gaeafy yn yr ynys a’i harwyð hi oeð Castor ac Pollux .
44:28:012:0	Ac wedy ein dyvot i Syracusa y trigesam yno dri‐die :
