44:23:001:1	Pen . xxiij .
44:23:002:1	Attep Paul Paul wrth gahel ei daraw , a’r gorvot ar ei elynion . Yr Arglwydd yn ei ddyhuddaw . Ac erwydd bot yr Iuddaeon yn ei gynllwyn , ydd ys yn y ddanvon ef y Caisareia .
44:23:001:0	PAul yntae a edrychawdd yn ddyfri ar y Cyccor , ac a ddyvot , Hawyr vroder , Mi a wasanaethais Dew ym‐pop cydwybot da yd y dydd hwn .
44:23:002:0	Yna yr Archoffeirat Ananias , a ’orchymynawdd yr ei oedd yn sefyll yn ei emyl , ei daro ar ei enae .
44:23:003:0	Yno y dyvot Paul wrthaw , Eath dery Dew dydi , baret gwynlliw . A’ thi a eisteddy im barny i yn ol y Ddeddyf , ac a ’orchymynny vy‐taro yn erbyn y Ddeddyf ?
44:23:004:0	A’r ei oedd yn sefyll gerllaw , a ddywedynt vvrtho , A gebly di Archoffeiriat Dew ?
44:23:005:0	Ac Paul a ddyvot , Ny wybuum i , vroder , y vot ef yn Archoffeiriat : can ys bot yn escrivenedic’ Na velltithia Bennaeth dy popul .
44:23:006:0	Eithyr pan ddeallawdd Paul vot y naill parth i’r popul yn Tsadduceit , a’r llall yn Pharisaieit , ef a lefawdd yn y Cycor , gan ddyvvedyt . Ha wyr vroder , Myvi ’sy Pharisai , ac yn vap i Pharisai : am ’obeith a’ chyvodiadigeth y meirw im bernir .
44:23:007:0	A’ gwedy yddo ddywedyt hynn yma , y cyvodes ymryson rhwng y Pharisaiait a’r Tsaduceit , y n y hollwyt y lliaws .
44:23:008:0	Can ys y Tsadduceit a ddywedant , nad oes dim cyfodiadigeth , nag Angel , nac yspryt : a’r Pharisaiait a a ddefant bop vn or ddau .
44:23:009:0	Yno y bu llefain mawr : a’r Gwyr‐llen o blait y Pharisaiait a gyvodesont i vynydd , ac ymrysonesont , gan dddywedyt , Nid ym ni yn cael dim drwc yn y dyn hwn : can ys a’s bu i yspryt ai Angel ymiddan ac ef , nac ymladdwn‐ni‐a‐Dew ddim .
44:23:010:0	A’ phan gyvodes tervysc mawr , y pen Captaen , can ofny rac rhwygo Paul yn ddrylliae y ganthwynt , y ’orchymynawdd ir milwyr vynet i waeret , a’ ei ddwyn ef oei plith wy , a’ei arwein ir castell .
44:23:011:0	Ar noshon nesaf y savawdd yr Arglwydd wrtho , ac a ddyvot , Bydd dda dy gyssir Paul : can ys megis ac y testolaetheist am danaf yn‐Caerusalem , velly y byð dir yty ðwyn testolaeth hefyd am danaf yn Ruuein .
44:23:012:0	A’ gwedy y bot hi yn ddydd , ydd ymglasgawdd ’r ei or Iuddaeon , ac a gyf‐reithiesont , gan ddywedyt , na vwytaent ac nad yfent , y n y laddent Baul .
44:23:013:0	Ac ydd oedd mwy no dauugain‐vvyr , y wnaethoeddynt y bwriat hwn .
44:23:014:0	Ac wyntwy a ddaethant ac yr Archoffeiriat ar Henafiait , ac a ddywedesont , Ys darvu y ni ymgyf‐reithiaw a Raith , na vwytaem ddim , nes y ni ladd Paul .
44:23:015:0	Yr owrhon gan hyny , arwyddocewch chvvy chwi a’r Cycor ir pen Capten , bod yddaw y ðwyn ef allan y vory atoch , mal petech ar veidr cahel gwybot ryw bethe yn yspysach y gantho : a’ nineu , cyn nag y del ef yn agos , a vyddwn yn parawt yvv ladd ef .
44:23:016:0	Eithyr pan glybu nai vap chwaer i Paul y y cynllwyn , mynet a wnaeth ef , a’ dyvot y mewn ir castell , a’ manegy i Paul .
44:23:017:0	Ac Paul a alwodd vn o’r Cannwriait attaw , ac a ddyvot , Dwc y gwr‐ieuanc hwn at y Pen‐Captaen , can ys mae canthaw beth y ei vanegy yddaw .
44:23:018:0	Ac ef ei cymerth , ac ei duc at y pen‐Captaen , ac a ddyvot , Paul y carcharawr am galwodd attaw , ac a ddysyfawdd arnaf ddwyn y gwr‐ieuanc hwn atat , can vot gantaw beth y ei adrodd wrthyt .
44:23:019:0	Yno y pen‐Captaen ei cymerth erbyn ei law , ac aeth ar‐gwrr ac ef or naillu , ac a ’ovynodd yddaw , Pa beth ’sy genyt y ei venegy y‐my ?
44:23:020:0	Ac ef a ddyvot , Yr Iuddeon a gydvwriesont ðeisyfy arnat , ðwyn Paul allan evory ir Cyccor , megis petyn ar vedr ymofyn mwy o yspysrwydd am danaw .
44:23:021:0	Eithyr na wna di yn ei hol wy : can ys y mae o hanwynt yn y gynllwyn ef , mwy no dauugain‐wyr , yr ei a gyf‐reithiesant , na bai yðwynt na bwyta nac yfet , nes yddynt y ladd ef : ac yr awrhon yð ynt yn parawt , gan edrych am dy addewit ti .
44:23:022:0	Yno y pen‐Captaen a ollyngawdd ymaith y gwr‐ieuanc , ac a ’orchymynawdd yddaw na venagei y neb , ddangos o hanaw cyfryw pethae wrthaw .
44:23:023:0	Ac ef a alwodd attaw ðau ryw Gannwriait , ac a ddyvot , Paratowch ddau cant milwr , y vynet y Caisareia , a’ dec a thriugain o varchogion , a dau‐cant , a ffynweywyr ar y drydedd awr o nos ,
44:23:024:0	a pharatoant yscrublieit y ðody Paul arnoddynt , er ei ðwyn ef yn ddiogel at Felix y President .
44:23:025:0	Ac ef a escrivenawdd lythyr ar y ffurf hon .
44:23:026:0	Claudius Lysias yn anuon annerch ar yr ardderchocaf President Felix .
44:23:027:0	Wrth ddalha y gwr hwn gan yr Iuddaeon , ac a’ hwy ar vedr ei ladd , ydaethym arnynt a llu , ac y achupais ef , can wybot mae Ruueinwr ytoedd .
44:23:028:0	A’ phan oeddwn yn ewyllysiaw gwybot yr achos , y cuhaddesent ef , y dugais ef at y Cyccor hwy .
44:23:029:0	Yno y deellais mae ei guhuddaw a wnaethit am gwestionae o y Deddyf hwy , ac nid oedd arnaw vn caredd teilwng a angae , nai rrwymae .
44:23:030:0	A’ gwedy dangos y mi , mal yr oedd yr Iuddaeon yn cynllwyn y gwr , yn ebrwyð y danvoneis ef atat , ac ’orchymyneis ydd ei guhuddwyr ddywedyt ger dy vron di y pethae oedd ganthvvynt yn ei erbyn . Does yn iach .
44:23:031:0	Yno yr milwyr megis y gorchymynesit yddwynt , a gymeresont Paul , ac ei dugeson o hyt nos at Antipatris .
44:23:032:0	A’r dydd dranoeth y gadawsont ir marchogion vynet gyd ac ef , ac yr ymchwelesont ir castell .
44:23:033:0	A’ phan ddaethant i Caisareia , y rroddesont yr epistol ir President , ac a ’osodesont hefyt Paul ger ei vron .
44:23:034:0	Velly wedy daroedd ir President ei ddarllen , a’ gofyn o ba gyvoeth ydd han oedd : a ’phan wybu mae o Cilicia ydd ytoedd ,
44:23:035:0	mi ath wrandawaf , eb yr ef , pan ddel hefyd dy guhuddwyr : ac a ’orchymynawdd ei gadw yn‐dadlaudy Herod .
