36:3:001:1	Jerúsalem dine'é ádił da'asiih índa béédahididoochił
36:3:001:0	Kin haal'áagi ts'ídá t'óó baa'ihii áádóó ni'iiłchǫǫhii índa ade áhósinii doo hojooba' ájíníi da !
36:3:002:0	Doo ła' yik'eh hół'íní da ; ts'ídá doo k'éhézdon nináodza' át'ée da ; Bóhólníihii doo yaa dzólíi da ; biDiyin God doo yit'áahjį' dóya' át'ée da .
36:3:003:0	Binanit'a'í danilíinii éí náshdóítsoh bitsiijį' daditł'ooígíí bii' nidahodi'ni'ii nidahalin ; e'e'áahgo mą'iitsoh nidaajeehígi át'éego bi'ádahwée'aahii nidaajeeh ; éí abíníjį' ts'in yídeigháashgo doo ła' ninádeítįįh da .
36:3:004:0	Áhodooníiłii yaa dahalne'ii t'áá ádzaagóó dahalne' áádóó doo bada'ahódlíi da ; binááda'iiłniihii éí hodiyingo haz'áanii dayííłchxǫ' ; bee haz'áanii nideigizgo chodayoos'įįd .
36:3:005:0	Biníi'gi Bóhólníihii t'áá ákogi át'éii hólǫ́ ; doo yá'ádaat'éehii doo íidoolíił da . T'áá ákwíí abíní doo haada yit'éii yee nihwii'aahii yit'íní áyósin ; t'áadoo ch'ééh ííł'íní da , nidi doo t'áá ákwii ájít'éii éí yáhásin doo hoł bééhózin da .
36:3:006:0	Ał'ąą dine'é yíghą́ą́' , yada'niiltł'ónígíí t'áá ádzaaí silį́į́' ; bikintaa da'aztiinígíí t'áá ádzaaí áshłaago doo ła' ákǫ́ǫ́ naagháhí da ; dabikin hadaas'áii ałtso áséłdįįd ; diné doo ła' ákwii naagháhí da ; doo ła' ákwii kééhat'íní da .
36:3:007:0	Áko ádíshní , T'áá aaníí , shidíínísin doo , na'nitin nił nilį́į doo , áko t'áá ha'át'éegoda atíishłaago kéédahat'į́įgi doo nahjį' kódeeshłíił da , nidi t'áadoo hodinaahí nídahidiikaigo t'áá bí yaa nidaakaii ałtso dayííłchǫ' .
36:3:008:0	Bóhólníihii ání , Éí bąą naalzheehii bich'į' nídiisdzá bijį́įjį' shiba' ánít'é , háálá ał'ąą dine'é áłah ádeeshłíiłgo nidiní'ą́ , áko bee óhólníihgo bił nahaz'áanii áłah íishłaago ts'ídá t'óó báhádzidgo sháháchį'ii bee bik'i hwiideeshłeeł ; ts'ídá doo chohoo'į́į́góó sháhodoochįįł . Jó , bee łe'nisinii bee nahasdzáán ts'ídá ałtso adideeshk'ą́ą́ł .
36:3:009:0	Áko índa shidine'é saad niłts'íilgo bá ádeeshłíiłgo Bóhólníihii bízhi' dayózhíigo t'áá ła' bizhi'ee yá nidaal'a' dooleeł .
36:3:010:0	Iithiyópiya kéyahdóó tooh danílínígíí bilááhdę́ę́' nídashookąąhii shits'ą́ą́' tadaoskaii ba'áłchíní éí nááhidoonihii shaa dayiijáah doo .
